用户名,评分,游戏时长,评论
﻿哦你这个小机灵鬼,3E+00,,总觉得游戏很卡，但运行其他游戏没这状况啊
﻿足各,3E+00,,卸得比较早，没碰到所谓的回档服务器等问题，但我还是感觉很无聊，应该是女性向游戏吧，一些好看点的竟然是女装大佬，女主绝对跟画师有仇
﻿靠谱.,2E+00,,我原来回档了然后现在登上去一直卡在一个地方……
﻿8190,1E+00,,不知道大家有没有玩过一款叫战刻夜血的日文游戏这个游戏是开头的即视感 和战刻夜血好像
﻿逍遥星河,1E+00,,回档把我小姐姐弄没了？十连抽  9r1sr??之前打的剧情全没了！送的角色也没了
﻿继续、沉默,5E+00,,这是一个养成类的游戏！所以有时候大家说游戏肝的时候都不知道该怎么反驳。游戏的难易程度都有一个限度，我觉得执剑在这方面做的虽然还有不足之处，但是个人感觉还是比较不错的。至少我是靠着芭蕉直接开到满级的人，完全感觉不到非得气质给我带来的伤害（虽然也有得不到的失落感）。只要愿意多花点时间，基本还是能够得到自己想要的。游戏的玩法中规中矩，也不是我看重的地方，作为一款女性向游戏，立绘和声优才是核心点，至少这两点还是不错的，支持一下努力改版又改版的美工策划们，加油吧！！！！
﻿雫,5E+00,,过来拉下星级 第一天就下了 本来准备玩之前看一下评价  评价一溜的回档 吓得我都不敢玩 今天才开始 有点肝 出率还行
﻿icey,2E+00,,冲过的礼包闪退后东西全没了，打的关也全没记录🐮🍺
﻿言淵,3E+00,18分钟,卡池概率太低了 就酱紫
﻿ConnaDoyle,1E+00,,hi好个p(✪▽✪)闪退
﻿手机用户41628494,5E+00,,看到因为画风不喜欢，就打个两星？？？这游戏针对对玩家的群体性太局限了，指望所有人喜欢是不可能的，tap打分的参考价值估计要过一段时间去了。
﻿rau,4E+00,,其实这个出率对我来说蛮友好的（？）三ssr二UR感觉除了维护不通知一下之外其他都挺好的（）
﻿小图书馆的牧羊人,1E+00,,暂时给一星，问题有点多，之后看情况改回来。
﻿群居动物,1E+00,,垃圾游戏，我号都能直接回档回没，回档回出这种操作我还真是第一次见，厉害死你了
﻿我没药,5E+00,,就这样吧，今天不玩了，回档两次，基本上都白肝了，告辞告辞修好以后还可以，玩法比较多（快肝不动了），ssr和UR的概率太低了（也可能是我非）
﻿りん花月,1E+00,,回档了人物没了充值的玉也没了 牛批牛批  我冲钱恶心我自己呢何必呢？？期待越大失望越大是真的
﻿m,1E+00,,什么意思我11点40抽到卡服务器异常然后上线之后抽的卡全都没了？？真TM恶心
﻿垃圾游戏清道夫,1E+00,,玩法抄袭动作僵硬立绘一般神仙回档腊🐔粪游
﻿31026434,4E+00,,可怕……竟然是因为bug的问题才导致降分，官方需要加油啊，我晚来了俩小时倒没啥感觉，不知道修好了没
﻿Pile樣の零四Haruka,1E+00,,回档问题到现在也不解决，也不给个准确的说明，办事毫无效率，这官方是真的不行
﻿手机用户37823204,4E+00,,我觉得还好啦画风我挺吃的，然后之前参加测试就特别非，这次回来再玩比之前要欧一点。。就是不能扫荡哈哈哈哈
﻿Mingo,2E+00,,只能给立绘一点分了，稀烂的服务器，空洞的玩法
﻿手机用户19251571,1E+00,,两次回档，养成的角色都给我吞了还没有材料了，废了我几个小时时间，辣鸡
﻿萱草🐱,3E+00,,玩了一会儿两个武士升到10级突然卡了，再进去级数和关卡都掉了，然后又卡又掉，神马意思！！！
﻿矢量,1E+00,,掉线重登之前的号就没了，我刚打完第一章啊什么都要重来一遍，太寒心了吧
﻿咕噜咕噜球,1E+00,,Emmmm为什么昨天抽到的UR今天变SSR了？
﻿pumpcin_,2E+00,,蓬莱玉还免费和付费？我怎么那么看不懂呢？
﻿流萤扇,2E+00,,看了其他评论我有点庆幸我半个小时就删游了
﻿手机用户29779058,2E+00,,不是我就想知道为什么我的剧情没有语音😭😭😭😭😭
﻿圈圈不是juanjuan！,5E+00,,大家宽容点吧，给项目组一点时间体验了下游戏，评分绝对不值这个分补偿也到位了~好好体验游戏吧
﻿惊羽弦歌,5E+00,2分钟,8.10更新一下讲真正式服概率体感和体服差别不怎么大。起码几发十连出一两个金光还是有的。【洗地1】官方再加加油把bug修好，首日开服就出那么严重的事故...希望你们挺过去。【洗地2】玩家：你发巨款补偿。官方：没钱怎么发补偿。玩家：不想充钱。官方：那怎么你才愿意充钱？玩家：你发巨款补偿。【洗地3】【因为游戏里第一发抽到了执念卡ssr师父我原地上天，看在这份缘分上我来螺旋洗地了】【能不能看在我的诚意和厨力的份上未来给一刀斋加点戏啊？好歹你们出周边能不能带上他一起玩嘛呜呜呜呜呜】-------------执剑的发行之路一波三折。17年概念首宣，r社后台，剑君续作，当时人气呼声那叫一个高。开发商趁热打铁做游戏内容，恰逢18年版号停审，游戏测试一搞就是一年，也不知道制作人员是怎么用爱发电熬过来的。19年，版号有了，游戏先前吸引的热度也凉得差不多了。与两年前不同，国内女性向手游市场遍地开花，玩家逐渐不再对类似游戏抱有那么强烈的新鲜感，最早的测试用户也分流严重。临近正式上线，游戏宣传举步维艰。本来这游戏有成为大热门手游的潜力，就这么被活活耽搁了。游戏内容的完成度可以看得出是下了功夫的，官方的态度也一直很积极。真心祝福它能厚积薄发，凭过硬的质量在未来杀出一条好路。ps.能不能给我整个一刀斋ssr啊师父那张立绘真的好美啊好想拥有啊呜呜呜，预抽卡为什么见不到ssrur啊我怎么那么黑啊呜呜呜
﻿手机用户33628446,5E+00,6小时49分钟,什么鬼啊，疯掉掉线回档。还是好玩的啦。简单
﻿花美男000,4E+00,,这个画风在乙女游戏中算很合胃口的（应该可以算乙女吧）包括游戏性、UI设计、卡牌系统都阔以小哥哥们很符合我的审美
﻿小阿宅,2E+00,,我本来真的挺喜欢的，但是回档是什么操作？？？
﻿AARON,4E+00,,不晓得是不是我手机问题，下载后要安装时出现解析包错误的提示，试了几次都是这样，是怎么回事啊？有人知道吗？
﻿实力怼一波,2E+00,,一分剧情，一分立绘，我滚回克鲁赛德战记去了。
﻿QwQ,5E+00,40分钟,萌新求指教，出了琉胡要不要保留，我还有22抽！
﻿夏夜微凉,3E+00,,我ssr角色变了怎么回事. 充了钱买罪受吗怎么解决。我的德川变成了一个腊鸡角色
﻿CC,1E+00,,玩了一个小时好不容易出了个ur你和我说回档了，牛逼玩不起告辞充的钱就当喂猪了
﻿1524672@Social,1E+00,,哈哈哈哈。维护这个东西。。先延迟一个小时。再延迟一个小时。那就别开啦。
﻿卍解：天锁斩月,1E+00,,5券一个ssr，垃圾骗氪，腾讯就该低分
﻿苓,2E+00,,打着打着闪退，抽卡也闪退，就没有不会闪退的地方嘛？
﻿不动―――――――――,3E+00,,内测了一年多，反反复复删过好几次档。。玩法改过太多次了，蛮肝的。。立绘cv真的不错。。不过玩腻了，真的。。
﻿岚胡子,1E+00,,回档是真的厉害，其他游戏开服也就炸个服务器，你们倒好，直接炸玩家号，惹不起，惹不起
﻿丐丐,4E+00,,想问问为什么我明明蓬莱玉足够却依然说不足需要充值这个问题qwq
﻿黕皓,1E+00,,可以啊，这波回档操作666充的钱也没了，抽到的ssr也没了，很好。真棒👍
﻿安塔利亚,5E+00,,五星期待！！作为审神者非常想和刀刀们的主人发生一点什么呢诶嘿嘿
﻿丷凉月,2E+00,,为什么等级都回档了?????我就下了个线沃日
﻿紫黛雅兰,5E+00,2小时19分钟,(๑•ั็ω•็ั๑)好的，我已经准备好吹爆芭蕉桑了
﻿绅士狐,2E+00,,多次闪退，多次回档，重新链接后新手首抽被回档，多次断线，体验很糟糕
﻿白御sama未毕业不改名,1E+00,,卧槽这游戏，又回退？？？我一个ssr4个sr没了，牛逼，我还是第一见开服就凉凉的，呵
﻿白面鸮AI四号姬,1E+00,,看了服务器名字。。。。。下载的心思都没有了，咋跑第二名的？
﻿咚咚神,1E+00,,本来三颗星，现在一颗星您收好了(●°u°●)​ 」第二次回档，又又退回了原来的等级
﻿泽鹿,3E+00,,回档了！！！！我刚抽的一光国ssr，正在抽别的突然卡住，在登什么都重新来一遍，卡也没了？？？？？？
﻿不能佛要努力,4E+00,1小时10分钟,TapTap你快动一动
﻿小樱,1E+00,,已经卸载  1忍受不了这个战斗的模式（知道是抄的  ）2会回档
﻿雪穗,4E+00,,抽到了想要的卡，然后截图切页面出去浪了一波，回来就直接回档了，再也没有抽到了……我恨！！！依旧没有抽到饭纲……不过好歹不回档啦
﻿醉鱼,2E+00,,游戏数据储存错乱，这个太恶心了吧。。
﻿39053935@Social,3E+00,,"哈哈哈哈哈，天照十连抽，居然出了ur,那个***概率提高的反而只出了一个ssr"
﻿✈✈✈,1E+00,,垃圾游戏，老子玩到6级，过一时回来看我变成3级，逗我呢，图也白刷了，
﻿故穆卿叹,1E+00,,辣鸡啊，让这游戏和他的人员滚远，想多活几年的不要下载。一星都不想给。
﻿QQ用户17880141,4E+00,,还行，我没有闪退，可现在强制更新，就疯狂闪退了，对了对了对了，大大你们可以用live2D做动态么，我想那样会更好
﻿十六,5E+00,,我觉得还是得要个卡片速成之类的，不然升到后面再抽到个好卡，就很麻烦，还要专门去给他练级，就很烦👀。
﻿7069467@Mobile,5E+00,,抽卡太感人了。。。可能这样才能让你感受到ur的来之不易叭。不过总体来说，熬过前20分钟，后面还是挺好玩的。目前在肝开花。祈福能够抽到天狗，太想要了。。黑白都要！！！
﻿李白,1E+00,,呜呜呜 克鲁赛德战记太没排面了 腾讯本性未改我很欣慰 😊😊😊
﻿欧尔麦特,5E+00,,讲道理，官方这边赔偿算是很有诚意了吧。我算是比较喜欢这个游戏的，也希望广大玩家们，多多宽容一下。这样他们才有动力出更好玩的游戏内容，活动。哭唧唧。
﻿大连阿瓦隆的花之剑圣,1E+00,,阴阳师版的克鲁塞德战记？*讯你要有个度吧？
﻿旮旯迪胡同,5E+00,,公告找个时间看一眼，其实解决的挺好的没有什么是20连补偿解决不了的。。。其实不是，但客服道歉态度真的诚恳，而且游戏本身也没得说。
﻿夜不语,1E+00,,看画风挺好的，就用流量下了游戏，我咧个去，完了十分钟，掉线5次，也是厉害了
﻿安东尼奥××××××卡里埃多,4E+00,,游戏挺有趣的，不过殿守是不会动吗？在剧情里动的倒挺欢，但在首页戳他都不扭一扭，就有点没感觉。希望能有动作上的互动。
﻿原上草,5E+00,,很像克鲁塞德但是立绘绝对用心了好看😏
﻿菲托莉亚,2E+00,,QQ服会回档，于是去玩了微信服，没发生回档。
﻿儡yue,5E+00,2小时43分钟,我觉着海星，目前二十抽一个ur，一个ssr，六个sr
﻿无铭,1E+00,,游戏回档是什么操作，看了评论才知道还不是一次了，官方在干嘛，玩个游戏玩心情？
﻿蜂,1E+00,,这***游戏赶紧凉吧md刚刚抽到青波征一郎下线重登给我整没了佛了
﻿璃火,2E+00,,我觉得这就是乙女向的克鲁赛德战记啊…
﻿丑角,1E+00,,s♭游戏抄袭cq 阴阳师真的8要脸，烂钱恰得舒服是吧?
﻿心里没点笔树吗,1E+00,,nbnb…每升一级加一个充值炫酷图标，友好的氪金流程，看得我眼花缭乱
﻿。,5E+00,5小时40分钟,还行啊，这游戏，就是闪退严重，我的纲牛皮
﻿Starry,1E+00,25分钟,充完钱就不想玩了，到处都是坑
﻿锵-.-,1E+00,,不知道这算不算抄袭，但是未免和某些游戏过于相似了吧
﻿酱子喵,1E+00,,回档就不说了……白肝了……我就问问主线送的月之铃呢？这么明显的bug都不修
﻿探幽正牌夫人,5E+00,1小时57分钟,为探幽打五星，游戏4星半
﻿没钱就别玩TX游戏,1E+00,,昨天不是5.0？怎么又高了呢？难道是有water
﻿萤火虫,2E+00,,怎么老是闪退，闪退，闪退，然后排队，排队，排队，又卡住不动了。
﻿叁宿,1E+00,,主观客观多难判断，不过我是这么想的，好像CQ！
﻿哈迪斯的路西法,4E+00,5小时20分钟,20连失忆，我做到了
﻿亚修最可爱呀,5E+00,1小时4分钟,10抽出了心心念念的光国，先给个好评
﻿gugu小陈,4E+00,,个人其实很喜欢画风，但是玩的时候回档问题十分难受，希望官方尽快改善，给玩家一个好的体验。
﻿孤麟,2E+00,,爆率感人，等了几十分钟的游戏就这样
﻿除非脫單，不改暱稱,1E+00,,60连抽只有保底ssr什么水平，能再假点么？
﻿心凉~花以落゛✎ℳ,1E+00,,作为一个cq玩家我啥也不想说，黑暗就完事了
﻿传说中的呆子,1E+00,,这不就是披着日式风格的克鲁赛德战记么……
﻿沅沅酱,5E+00,2小时47分钟,这么多此类游戏中 这个已经算是最好的吧
﻿経験値-上昇中,1E+00,,誰充錢誰傻子，一直回檔，沒截圖的估計補償都沒有。
﻿秽骨。,3E+00,,其实就是结合了阴阳师和文豪野犬的点子，一般吧对这个游戏无感了
﻿盗梦空间,5E+00,,平心而论，游戏是一款值得慢慢玩的游戏，虽然开始的时候有点小失误，不过补偿到位也可以了
﻿手机用户11991438,1E+00,,老套氪金游戏的运营，一星给画师...
﻿脆皮烧酒,3E+00,,一模一樣的卡面還分SR和R又是什麼吃相難看的新玩法？
﻿百花🌸缭乱,3E+00,,又一个期待已久的游戏扑街了......无限小黄花还行......我套你🐵！回档了！我擦！
﻿爱吃干脆面的黑猫,4E+00,,本来又回档又关服又维护的，我是不开心的。但是补偿来了，我就觉着，我还可以再玩一玩。就是40连就一个ssr.非酋就是我。
﻿cofairly,3E+00,,疯狂闪退回档，预抽卡和预约奖励莫名消失，麻烦尽快修复啊啊啊我要崩溃了
﻿39631112@Social,4E+00,2小时51分钟,预约礼包领不了……
﻿月暖人间,3E+00,,没玩过。就想问一下，这个是女性向游戏？角色都是男的吗？
﻿☆♪,4E+00,,冲下午给我的两个ur给四星(？)以及天照真的比祈愿爆率高...
﻿thea_c👣,1E+00,,怎么回事？？？？肝了半个下午再上线又从一级从头开始了？？？？我的ssr呢？我的道具呢？？？？
﻿变白色了。,5E+00,,这个补偿到位，得劲
﻿云一,3E+00,,emmmmmmm怎么说呢感觉画风出来立绘都不是很和我口味，我还不如去做婶婶
﻿sunshine熊文超,2E+00,,卡的要死，抽的卡也都没了。拜拜ﾉBye~
﻿emmmmmm,5E+00,13小时2分钟,好了，原谅了，加油啊，这个游戏还是很棒的
﻿孤城    ღ,5E+00,3小时35分钟,啊哈 新服了 五星警告 单抽ur光国
﻿绀野  稚,5E+00,7小时22分钟,试图许愿葵和琉胡✨✨
﻿久.,5E+00,,我觉得还可以啦之前有看到吐槽掉率的 的确是有点问题 UR和SSR的掉率为什么不一样不过开局那30次可以单抽到SSR也是很好（除非真的非洲人
﻿胧命言一,1E+00,,只是退出玩一下暖暖，再进去什么都没有了，回档回的我心态崩了
﻿洛。,3E+00,,说是男女通吃 结果就三四个女角色 其他都是男的 这是要把我掰弯吗 😂
﻿Orange,5E+00,,昨天开始玩，两个ssr😏，目前觉得还不错，休闲玩，先玩玩看，第一次评论，忘记打开时长，别杠，杠就是你对，
﻿Doctor,4E+00,,修复之后还是可以的，游戏不错就是开服没开好伤心了一批，就是那是仙玉吧也是醉了(›´ω`‹ )分免费不免费，免费不能买月礼包，，，
﻿张满月,3E+00,,为什么我游戏里面蓬莱玉用不了?有没有和我一样的兄弟萌
﻿如月晴人,3E+00,,这抽卡概率差点让我以为是网易的游戏
﻿Jiang Jenny,1E+00,,各种游戏的集合……无时无刻不让人觉得在骗氪
﻿容么么,4E+00,,立绘还是玩法都挺不错的，就是能不能增加一个扫荡功能，不然一直刷重复的关卡实在是很浪费时间
﻿暮日离歌,4E+00,8小时12分钟,佛系四星，观望一下
﻿小兔叽,4E+00,,只有我觉得奇怪么，为什么人物长相都那么中性啊。啊我看着真的觉得怪怪的。一个角色这样还挺有特色的，怎么那么多角色外貌都有些中性。
﻿kyo-虚,3E+00,,宣传图我爱，立绘不喜玩后感：您颜艺真好已卸👌
﻿休涯,5E+00,1小时31分钟,玩了一下，感觉挺好玩的。
﻿维他柠檬茶,3E+00,,现在问题来了，我领了补偿礼包，他万一修复我的回档问题，那我领取的补偿礼包会不会莫得？
﻿emmmmmm,3E+00,,不说了，游戏不断归零也就算了，问题是我氪了月卡之后又又又又从零开始，真的，很迷
﻿Mr.凤,5E+00,,五星希望你别凉了😂等着20个铃铛，目前抱着三个ssr用爱发电话说卡上飘着花瓣是什么意思啊？
﻿马振宇,5E+00,5小时35分钟,0氪的我已经有了两个ur了
﻿咳,3E+00,,闪退，打着打着闪退明明通关了给我来了个什么战斗解析失败然后我就通关失败了？？太委屈了
﻿我只是路过,1E+00,,回档可以说是一款游戏最严重的错误了
﻿▼少年少女之詩,3E+00,,现在看来几乎所有游戏最大的敌人就是服务器问题……加油维护吧！
﻿手机用户12950306,5E+00,20分钟,我男的，我在想我可以玩吗？感觉画风挺好的
﻿青初,1E+00,,"不客气的说，半成品都不如，界面bug,教程bug,自动回档，真良心游戏"
﻿Acco,3E+00,,半个小时不到掉到6.7了，你们还是先关服修复吧，不然我觉得还能更低
﻿猫汤,3E+00,,感觉不是很用心，不同等级的卡片立绘竟然一毛一样，完全没了抽卡的乐趣
﻿阿苏让,1E+00,,游戏模式基本照搬《克鲁赛德战记》，开服第一天不停掉线回档，渣渣。
﻿凤凰院,1E+00,,吞卡就很难受……等什么时候补回来再考虑改评分[。
﻿☁  肩,1E+00,,动不动就退回去了任务，东西也没不能买说货币不足。有啥意思啊，
﻿孤儿院长,2E+00,,WDNMD直接存档没了那是真滴牛啤
﻿明月夜,1E+00,,57抽一根光国毛都没见着……这和想象中差距太大了吧……
﻿除月,4E+00,,"来这里看看有没有预下载，结果还没有。那就提前给大家打一个预防针吧，在测试服那边连续5,6个十连都是紫气东来，是蛮感人的。"
﻿逐风所长,1E+00,,本来还很期待的下了下来。但结果不尽人意。我闪退了4回，这让玩家怎么玩？
﻿银灰,1E+00,,虽然我没回档，但是为哪些不幸运的孩子们抱不平。
﻿阿零,3E+00,,我还能说什么，对这款游戏我还能说什么呢，回档回到嗨的我的天啦撸我在说什么
﻿MOI,1E+00,,本来还挺期待的，但是官方操作太恶心了，也就这样了
﻿仓鼠天国,1E+00,,非洲人不配玩这个高贵的手游，摸了。这出率我还是咸鱼龙约了。
﻿冲田小番茄,4E+00,,我觉得赔偿可，我可以安心失忆了，没啥损失，游戏各方面还不错，前期肝度适中吧
﻿二十六岁半,2E+00,,什么毛网络服务器做不好也敢开出来
﻿水仙子,5E+00,,喜欢执剑的世界观，剧情的跨度很大，而且细节方面有很多的可挖掘性，就像官方说的一样，既然是乙女风格的游戏，最重要的当然不应该是打打杀杀，而是更切合实际的美观和剧情了。立绘和声优绝对算是亮点，2Dlive的风格是一个不小的创新和加分项。但是，游戏还是有不足的地方的，首先就是内容的填充度了，虽然每天的活动都不少，但是作为追着风格来的人，当然更在乎是能够看到更多的优美立绘和更多的声优啊。希望能够尽快的补足资源，表白一下时装，虽然收集起来有点压力，但是设计的很漂亮。
﻿N总,1E+00,,闪退  打到1-8了  再上来又回到1-2了  做不好就别上架  还大厂呢  垃圾
﻿千里快哉风,4E+00,,除了摸不到sr以上的奶之外其它还好，给我个奶吧，要哭了
﻿手机用户35871323,1E+00,,微信qq登录，这是某讯的游戏吗？这个游戏家里没有几百个矿，你玩个锤子，一星，不谢
﻿L,5E+00,,好了，改成五星了，，本来我就想五星的，不过刚开服总给我挤掉很不爽，现在没事啦，就五星～游戏很棒呀，福利，画风，也佛，可以自动战斗真是太棒了，会玩下去的～
﻿zwede,1E+00,,接个电话网络卡住重新打开游戏竟然回档到一级了，完美劝退啊
﻿诛心,1E+00,,闪退后直接啥都没有了重新开始，充的钱居然也没了，年度最神奇游戏
﻿苏陌,3E+00,,不评价游戏，因为我教程还没打完啊，维护去，快点啊啊啊，我的sr，呜呜呜
﻿来日方长,1E+00,,抽到的UR说卡掉就卡掉？？？太气人了，第一次玩体验感这么差的游戏
﻿桃濑卷,5E+00,47分钟,先给五星等你们游戏运行正常了我再玩 我对游戏期待很大
﻿小百合,5E+00,,闪退之类的手机问题，我觉得不应该怪游戏，我反正是没有闪退现象。剧情蛮有意思的，立绘也挺精美的，战斗模式也挺有意思的，而且我开了个ssr，超级开心！
﻿水野,5E+00,10小时4分钟,许愿鸨羽୧((〃•̀ꇴ•〃))૭⁺✧
﻿静谧的沉默,1E+00,,***，有毛病啊。我抽到一个ssr容易吗？这就给我回档了？？？
﻿Cind erella. 💋,1E+00,,至少你们能抽卡吧，我呢？至今卡在登录界面，我不配有姓名是怎么样？
﻿胖达,3E+00,,这游戏现在能玩了吗？还会回档吗，有没有个准话啊
﻿aki,4E+00,1小时1分钟,那我就改评分啦
﻿QQ用户18517575,4E+00,,等了好久，不抱希望的等个扫荡或者至少来个加速啊，还有卡升级只能带着刷很难受
﻿手机用户7788569,1E+00,,我就想问怎么4.8了。刚有空要入坑d(ŐдŐ๑)
﻿゛Doomful coffee,5E+00,,内测玩过，还是挺喜欢的，不然也不会等到现在，刚刚把我预抽卡的角色发回来了。会继续肝的
﻿手机用户47681702,3E+00,,又…爆死了？为啥我预约过的游戏全死了，唯一的舟游还是没预约😓
﻿jywudi123,1E+00,,这爆率 暗改了吧 20连 2个sr 18个r
﻿墨喵,3E+00,,预抽卡没抽到ur，想想自己起步就比别人差，于是就选择了不下载。
﻿呜喵,5E+00,,算是良心游戏了
﻿请叫我肝帝,3E+00,,原来是个q版游戏，还以为和阴阳师差不多实际上差很多。
﻿心悸,5E+00,,遇到的第一个游戏，第二天就能拥有100抽，而且掉率真的蛮高的，除了体力不够用以外都挺好。
﻿浅莫,1E+00,,回档真的是什么琦葩还我ssr，好不容易的欧气啊
﻿吾妻太太！超气质,5E+00,33分钟,工作人员很不错，工作效率高
﻿哟,1E+00,,这抽卡概率真的感人呢🤷🏻‍♂️，辣鸡游戏，果然一贯鹅厂嘴脸
﻿踏雪寻梅,4E+00,,操作有些许繁琐，没有扫荡系统的游戏我一般都是扣一星的，所以扣一星！
﻿鱼爹,4E+00,,嘻嘻嘻重新下载一遍可以玩了 希望个人剧情里可以多点语音吧 还有闪退的问题可以早点修复
﻿玖十三,5E+00,,？不是很明白怎么这么多人来鉴抄袭，隔壁万象物语不也一样的战斗模式吗？这也能直接说抄袭？玩法定位完全都不一样好吧？真的服气了
﻿书生青冥,5E+00,,凡事Tap上了什么新游戏，管他是啥先注册然后等炸服然后等补偿然后就可以抽卡证明自己不是非洲人了……然后还是非洲人，卸载！
﻿弦上悲歌,3E+00,,预约礼包码一份，FRWBAAAANkpSLVpf，要的留言一下就行
﻿相思广厦泠泠,1E+00,,出了ur再回档，还把玉扣了，你家玉怎么不回档啊！！？？真棒，又省钱了。再见！
﻿人之初性本善,1E+00,,噗，一下子从9分降到6.1分，为还以为我眼花了_(:з」∠)_
﻿椰奶冻,5E+00,1小时32分钟,除了抽卡我不知道哪里能让我快乐
﻿醉斋,3E+00,,闪退没啥，我就想问问回的档能归回来吗？我充的钱打水漂了？
﻿随便画点什么,3E+00,,体验感一般慢慢写你游测试一年 这种炸服情况不可能没有意料
﻿Stacey,3E+00,,玩的好好的自己闪退出去说正在维护中。。。这会也登不上去(；一_一)
﻿手机用户46422875,1E+00,,bug真是多 卡着不动了 然后疯狂坠机呵呵依旧没修好
﻿笹舟,1E+00,,我号呢?回档号都没了?重新开始?我的钱呢？和号一起没了?
﻿担子耽,4E+00,3小时53分钟,为什么我的蓬莱玉买不了铃铛啊？
﻿先知,5E+00,8小时12分钟,舒服的一批
﻿洵旭,4E+00,,0分钟这个是假的！今完了挺久的 只有我疯狂掉线吗qwq
﻿QQ用户14728715,3E+00,,闪退就不理解了！其他都挺好我上号没几分钟闪退从来什么意思？
﻿季林杰,1E+00,,一直打，然后一直回档，抽的角色，全都没了，而且也没个解决方案
﻿渡世,4E+00,,除去服务器问题 游戏本身还是挺好玩的 希望多出点人物 后续活动本安排上
﻿Kaleidoscope,3E+00,,？？？？？我十分钟前第一章试炼到了第五关眯一会儿醒来居然又回到了第一关？？？？
﻿Muffin,3E+00,,考虑到也许是我不喜欢女人样男人声而已，补一分，三分。
﻿樱井牌溜肩,1E+00,,这游戏无限回档简直有毒。。。我玩这游戏简直是在虐待自己。。
﻿莈冇棂魂の亽,5E+00,,挺不错的游戏，画风很喜欢~虽然是女性向游戏，但也不能太女性啊，对男同胞很不友好啊！
﻿埃罗芒阿老师,3E+00,,我只能说我的数据清零了，而且登进游戏还乱码，只能用无语来形容了
﻿星星喵爱吃鱼,1E+00,,不给玩吗，掉个线就去掉一个ssr德光，钱也不是这么坑的吧
﻿花尽千霜默,4E+00,,第一次10连给我一个SR，然后掉线重置。第二次重新10连给我SSR，又掉线重置，第三次更新后10连给了我葵，到属性似乎没SSR好，但似乎更加稀有点。。
﻿洛白悠,3E+00,,？？这个时候还能搞炸服？是最近案例不够多吗？你还要再添上一个。
﻿魔法少女伊泽瑞尔,1E+00,,是我在梦里玩了游戏还是在游戏里做了梦？？停服维护一下就这么难吗？？
﻿T.c,1E+00,,根本玩不了，教程过了3次，掉线3次，老子号都还不能建，你补偿什么？？？？？
﻿孑然醉一生,1E+00,,游戏概率极低，UR无保底，氪金池保底，服务器崩坏，不敢恭维。
﻿佺,1E+00,,引导都不能过，没有足够人数参战。这要怎么玩？
﻿Geime,1E+00,,*** 太难了，服务器闪退，我号没回溯了，人品爆发UR，就怎么没了，太气
﻿赵爵,1E+00,,洗个澡就第二次回档了，UR不见了，卸了，再见(ー_ー)!!
﻿PHILove,3E+00,,哎，有点失望，回档严重，掉率感人，可玩性暂时觉得一般
﻿野兽玩家,1E+00,,大家可以去玩下克鲁赛德战记୧((〃•̀ꇴ•〃))૭⁺✧
﻿潇湘,1E+00,,刚过完新手教程然后被卡出去然后号没了？？？这回档我是服气的
﻿ZERO,1E+00,,为啥买的6元礼包没有到账？？？现在连进都进不去咯！！！玩锤子呀？？？
﻿Dà Dà゛,3E+00,,画面挺好，战斗界面没看懂，就跟着提示摁，然后总是卡着不动，摁啥都不好使呢？
﻿琰YAN,3E+00,,我闪退了两次，有些关卡打了两次，强行退出后等级也莫名其妙的降了。
﻿岑溪,3E+00,,我瞅着这评论，游戏商就是这么代理别人游戏的？这是来割韭菜了吧？
﻿空母ヲ级,1E+00,,业界伏地魔除了舰r就是克鲁赛德战记。还团队操刀，抄刀吧。
﻿zdl,1E+00,,蓬莱玉还分免费付费，好的不学就学坏的，抽卡爆率级低
﻿沐霂,4E+00,,希望关卡通关之后，能有个一键通关，不然战斗过程不能加速，掉率又不咋地，实在是太肝了
﻿17,4E+00,,对话框没之前的好看了，字体还变了，之前的大楷体多好看啊！好失望！这样搭起来有点违和。
﻿拜无忧。,1E+00,,不是吧……三十抽那个的卡有没掉了这个游戏还能好吗？。
﻿月见辉夜,4E+00,,三星给探幽 一星给游戏来看了下才知道是抄袭的删了
﻿寄春君,1E+00,,没有诚心的游戏……一直回档 ，抽的卡都能收回去，呵呵
﻿"涛子先生的脚下埋着尸体,",3E+00,,此刻正是回档之刻，拿起回档的武器战胜妖邪。
﻿月潜星河,2E+00,,这个爆率是真实存在的吗。
﻿手机用户43470492,1E+00,,我真的服了，拼命回档，一会11级一会10级，打的剧情全部重置，呵呵
﻿绮罗生,4E+00,2小时30分钟,为什么回档啊？？？？？
﻿i wanna..,4E+00,5小时28分钟,就……加油吧，默默观望
﻿毕方讹火,2E+00,,一星给白长直一星立绘。
﻿卟咻咻,1E+00,,垃圾游戏，没做好你测个屁，永久四级真是快乐极了
﻿清爽的风古城的光,2E+00,,为什么我总是闪退，。。。大家是这样嘛
﻿沁夕,5E+00,54分钟,玩起来不错。
﻿手机用户44183346,4E+00,,强力吐槽卡池概率！！198就出一个up九个r我踏马就是个铁憨憨198买个up我的错
﻿桃成,4E+00,19小时23分钟,新手引导都过不了
﻿schoko,5E+00,,细节做的超棒！很有生活感！本阵随机触发的小剧情超可爱的！角色故事也很有趣！不算肝，基本是种田游戏
﻿情书,4E+00,,熬过了五十连的非洲期竟然迎来了饭纲小天使 还是ur 留下了老母亲一般的泪水
